[REGIONS]
; - FACA_ACC_West
FACA_ACC_West 0 S036.59.59.972 E022.25.41.956
S023.37.46.741 E027.04.11.852
S023.37.48.949 E027.04.14.694
S023.37.51.805 E027.04.18.816
S023.37.57.131 E027.04.24.787
S023.37.59.600 E027.04.26.637
S023.38.03.889 E027.04.29.057
S023.38.08.440 E027.04.30.485
S023.38.11.683 E027.04.36.879
S023.38.13.629 E027.04.40.716
S023.38.15.836 E027.04.43.559
S023.38.21.297 E027.04.45.272
S023.38.27.668 E027.04.47.270
S023.38.32.218 E027.04.48.697
S023.38.35.211 E027.04.48.559
S023.38.39.113 E027.04.48.705
S023.38.43.277 E027.04.47.858
S023.38.47.702 E027.04.46.017
S023.38.53.424 E027.04.46.735
S023.38.56.155 E027.04.47.591
S023.38.59.533 E027.04.49.726
S023.39.02.912 E027.04.51.862
S023.39.06.552 E027.04.53.002
S023.39.11.887 E027.04.51.447
S023.39.16.312 E027.04.49.607
S023.39.18.007 E027.04.46.911
S023.39.15.151 E027.04.42.788
S023.39.13.206 E027.04.38.951
S023.39.12.432 E027.04.34.405
S023.39.14.126 E027.04.31.710
S023.39.18.812 E027.04.28.875
S023.39.21.019 E027.04.31.718
S023.39.22.965 E027.04.35.555
S023.39.26.082 E027.04.38.685
S023.39.30.632 E027.04.40.113
S023.39.35.444 E027.04.40.549
S023.39.39.481 E027.04.36.434
S023.39.42.346 E027.04.33.029
S023.39.44.951 E027.04.30.618
S023.39.50.546 E027.04.28.070
S023.39.55.232 E027.04.25.237
S023.39.59.007 E027.04.22.117
S023.40.02.520 E027.04.19.990
S023.40.05.772 E027.04.18.857
S023.40.10.196 E027.04.17.019
S023.40.13.973 E027.04.13.903
S023.40.15.541 E027.04.07.940
S023.40.14.505 E027.04.04.387
S023.40.13.730 E027.03.59.840
